cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgzWaMx-ITWA5eDfkFh4AaABAg,"Pak, kalau untuk tukang pijat panggilan bagaimana pak , sedangkan kerjanya tidak bisa  dikerjakan dari online /dari rumah , sedangkan penghasilan utamanya adalah pijat,untuk mengasih nafkah  anak dan istrinya🙏🏻",3 tahun yang lalu,@heriirawan3744,UCF4MV4VipEt-9wFneC1LNqA,0,https://yt3.ggpht.com/ytc/AGIKgqPw44EZF42aBK3qOTWJZcmjb2floKaVpm2WPA=s176-c-k-c0x00ffffff-no-rj,false,false,1586859379.215039
UgyNvsS6ergzbACzbGt4AaABAg,bagi yang ANS bisa bekerja dari rumah`kalau untuk para pentani gak bisa bekerja dari rumah```jika lookdown pemerintah sangup gak menjamin pangan gratis untuk masyarakt` ASN gaji tetap jalan petani gaji dari mana`mati itu ditangan tuhan bukan di tangan virus corona``yang terpenting menjaga diri``,3 tahun yang lalu,@elangs8525,UCHrWJ-ShdTxGMCkfd6sxcHQ,0,https://yt3.ggpht.com/ytc/AGIKgqOkf0zwh5L8WucrIigBy8Tqi42dRFZ_C29CG3V6=s176-c-k-c0x00ffffff-no-rj,false,false,1586859379.219355
UgxIPdd013wcQ7ucqKZ4AaABAg,Yang tau mencegah untuk virus corona adalah..ahli zdikir ya itu ulama..bukan ahli ilmu bukan ahli kesehatan..,3 tahun yang lalu,@kasogiogi4967,UCFh2U9MIUCRLfB7QRwKjuHA,0,https://yt3.ggpht.com/ytc/AGIKgqMhpjNd4HFP0CvThLBEW-dMst2u4sVVYkFeWQ=s176-c-k-c0x00ffffff-no-rj,false,false,1586859379.224331
UgzNJuA5qJU4JIkY8pZ4AaABAg,Sak karepmu pak 😮,3 tahun yang lalu,@faisald.katmono9879,UCdxmmebPRXpi0XyXjf1SWOA,0,https://yt3.ggpht.com/ytc/AGIKgqOfczLsl3wfTi5FvK47XWUtveLQznKSsLSS5RhLsw=s176-c-k-c0x00ffffff-no-rj,false,false,1586859379.227743
UgwisY_vDNLzFGNmMEZ4AaABAg,Au ach...pd dongo...udah takut mati...kuasa ALLOH S.W.T,3 tahun yang lalu,@aminamin112,UCQizJpRNXxBodkIXPovLM8A,0,https://yt3.ggpht.com/ytc/AGIKgqPyyTuRL1GKB0PMbf_XuqM5zt4RbrSGNHvPRA=s176-c-k-c0x00ffffff-no-rj,false,false,1586859379.231561
Ugw9YRjeDFWdBPxCn0F4AaABAg,Pak klo bisa cicilan hutang di lock down dlu..bisa kah...???,3 tahun yang lalu,@doni_haykal7587,UCwEiCMzQP3DTPjx9jPlz5sw,0,https://yt3.ggpht.com/ytc/AGIKgqN2FM4GpqaPLQfwbOr6ux-jv7CKRIOKA1n5Cg=s176-c-k-c0x00ffffff-no-rj,false,false,1586859379.235513
UgwwsTLWa2KoH-BS85d4AaABAg,"Presidennya mana sih, kok yg pidato tukang bacanya presiden.. 

Hkowakowokowakowo...",3 tahun yang lalu,@unmaskedsecretssocieties9081,UCs00gmczHAmxiSL2PXpWyPQ,1,https://yt3.ggpht.com/ytc/AGIKgqNC9unu5KeA1cROx1W1sF5pd-8BSHlGt7Vk9RZk=s176-c-k-c0x00ffffff-no-rj,false,false,1586859379.239442
UgzxFefSK0aqfqpnv4F4AaABAg,"Maaf sebelumnya.... 🙏🙏🙏
Dengan adanya virus covid 19, saya kurang setuju kalau ibadah sendiri² di rumah, saya sebagai seorang muslim apalagi saya laki² wajib hukumnya sholat berjamaah di masjid atau di musholla",3 tahun yang lalu (diedit),@ekokusmantoro4829,UCa0IUXi1zKdb4aofInVambw,0,https://yt3.ggpht.com/ytc/AGIKgqPrMnjsAjVR_mDJ5szUR3daqwVaeUACMqNqmzvcug=s176-c-k-c0x00ffffff-no-rj,false,false,1586859379.242938
UgyIfE5x-pWChb0u5gh4AaABAg,"BAHAN PELENGKAP DISKUSI 
[Ulama Mauritania Menyikapi Virus Corona]

كتب الشيخ: أحمد الكوري:
الموريتانى
Oleh: Syeikh Ahmad al-Kury dari Mouritania
(dengan terjemahan bebas)

هل يجوز للمسلمين الأصحاء ترك الجمعة والجماعة خوفا من المرض (كورونا) ؟!

Bolehkan kaum muslimin meninggalkan sholat Jum'at karena antisipasi virus Corona?
أولا. 
في الخوف من العدو المحقق عند القتال في سبيل الله لم تسقط الجماعة فكيف تسقط بسبب الخوف المتوهم من المرض ؟!
《وإذا كنت فيهم فأقمت لهم الصلاة فلتقم طائفة منهم معك...》الآية.

1. Kewajiban sholat berjamaah dan sholat jumat tidak gugur dalam kondisi perang militer yg sangat mencekam.
Bagaimana mungkin kewajiban itu bisa gugur hanya karena khehawatiran yg blm pasti.

ثانيا .
هذه الأوبئة والأمراض سببها الحقيقي هو الذنوب والمعاصي. قال تعالى: 《وما أصابكم من مصيبة فبما كسبت أيديكم》.
وقال:《ظهر الفساد في البر والبحر بما كسبت أيدي الناس ليذيقهم بعض الذي عملوا لعلهم يرجعون》.
ألم يبين تعالى أن العلاج إنما هو في الرجوع إلى الله بالتوبة والاستغفار والصلاة والتلاوة والدعاء ... وليس في ترك بعض ما أوجب علينا من جمعة وجماعة ؟!!

2. Virus ini datang karena kemaksiatan hambanya.
Maka solusinya adalah taubat, sholat, istighfar....bukan sebaliknya malah meninggalkan sholat jumat dan sholat berjamaah.

ثالثا.
قول الله تعالى: 《ما أصاب من مصيبة في الأرض ولا في أنفسكم إلا في كتاب من قبل أن نبرأها》. وقال: 《قل لن يصيبنا إلا ما كتب الله لنا》.
وقال:《قل لو كنتم في بيوتكم لبرز الذي كتب عليهم القتل إلى مضاجعهم》.
وقال صلى الله عليه وسلم((واعلم أن الأمة لواجمعت على أن ينفعوك لم ينفعوك إلا بشيء قد كتبه الله لك ولو اجتمعوا على أن يضروك لم يضروك إلا بشيء قد كتبه الله عليك))  رواه أحمد والترمذي وقال حسن صحيح . 
فإيماننا بالقضاء والقدر وتوكلنا على الله جل وعلا  ألا يمنعنا من ترك ما أوجب علينا من صلاة الجمعة والجماعة خوفا من المرض وغيره ؟!!!

3. Kita beriman kepada Qodho dan Qodar.
Oleh karena itu, keimanan itu tidak bisa dijadikan alasan untuk meninggalkan perintah dan kewajiban sholat jumat dan sholat berjamaah.
رابعا.
ألم يتحدث صلى الله عليه وسلم عن كيفية التعامل مع الطاعون وأنه لا يجوز دخول الأرض التي فيها الطاعون ولا الخروج من الأرض التي فيها .. فهل ذكر  فيه ترك صلاة الجماعة؟!!

4. Rasulullah saw tidak pernah mengajarkan ummatnya untuk meninggalkan sholat Jum'at dan sholat jamaah akibat wabah virus yg melanda sebuah negeri.

خامسا.
وقع الطاعون في عهد عمر بن الخطاب رضي الله عنه وتشاور في أمره مع المهاجرين ثم الأنصار ثم مسلمة الفتح ..
 فهل عطلوا بسببه جمعة أو جماعة ؟!!

5. Umar bin Khattab tidak pernah mengambil kebijakan untuk meniadakan sholat Jum'at dan sholat jamaah saat wabah virus melanda damaskus di masa kekhilafahannya.

سادسا.
يقول الله سبحانه وتعالى (واستعينوا بالصبر والصلاة) فهل الإستعانة هنا بإقامة الصلاة في المسجد كما كان النبي صلى الله عليه وسلم يؤديها أم بترك الجمع والجماعات ؟!!

6. Dalam menghadapi sebuah musibah, Allah SWT memberi petunjuk untuk bersabar dan perbanyak sholat...., bukan sebaliknya... meninggalkan sholat jamaah.

سابعا.
يقول صلى الله عليه وسلم 《من صلى الصبح في جماعة فهو في ذمة الله ..》 ألا يكفينا أننا في ذمة الله  ؟! 《أليس الله بكاف عبده》؟!!

7. Orang yg sholat Subuh berjamaah akan mendapat perlindungan Allah SWT....(hadist)
Apakah kita tidak lagi percaya dengan jaminan Rasulullah Saw??

ثامنا.
إذا كان صلى الله عليه وسلم لم يأذن للأعمى في التخلف عن الجماعة مع قوله بأنه لا قائد له وأن  المدينة كثيرة الهوام والسباع ... كيف يؤذن للصحيح في التخلف عنها لمجرد خوف المرض ؟!!

8. Rasulullah Saw tidak mengizinkan bagi orang buta untuk meninggalkan sholat berjamaah...padahal resiko bahaya sangat tinggi.

Bagaimana mungkin sholat berjamaah bisa ditinggalkan dengan resiko yg masih belum pasti.

تاسعا.
لقد كان النبي صلى الله عليه وسلم إذا حزبه أمر بادر إلى الصلاة .. فهل إذا حزبنا فيروس الكورونا نترك صلاة الجمعة والجماعة ؟!!

9. Teladan Nabi Saw dalam menghadapi musibah adalah justru dengan memperbanyak melaksanakan sholat..

عاشرا.
لقد كان في كل مدينة إسلامية جامع واحد يصلي فيه الجميع .. وقد كان يصيب المسلمين الوباء والطاعون من حين لآخر .. 
فهل أفتى أحد من علماء المسلمين عبر التاريخ بغلق المساجد بسبب وباء أو طاعون ؟!
( بويا.أ.إ )

10. Dahulu di kota Madinah hanya ada satu masjid yaitu masjid Nabawi.  Wabah penyakit pun sering muncul. Namun tidak pernah muncul fatwa untuk meninggalkan sholat jumat dan sholat berjamaah...👳🏻‍♂👳🏻‍♂

Wallahu'alam...",3 tahun yang lalu,@aliprn6208,UC-dQcyP8j2-4uRxiqsOnjQA,0,https://yt3.ggpht.com/ytc/AGIKgqPrvKspd6ho4woz0bQtuXMxAadbeswAHpX8bg=s176-c-k-c0x00ffffff-no-rj,false,false,1586859379.246253
UgxX3oXV42B0LCzEf6N4AaABAg,"Siapa yg ke sini karena meme quotes pak jokowi yg agak bucin ? 😋 Klo bosan bilang, jangan ngilang",3 tahun yang lalu,@irmanrizqibimantoro348,UCJvwX3sst64swNlaQRWOvCw,0,https://yt3.ggpht.com/ytc/AGIKgqNBbgQspBb3AcQ1PWSd7uNmgzUyZes0bZuHThQFkw=s176-c-k-c0x00ffffff-no-rj,false,false,1586859379.249527
